time,close,open,high,low,VWAP,Volume,Volume MA
2020-07-01T21:00:00-04:00,9248.72,9226,9248.72,9218.06,9233.255307,818.920968,1707.409674
2020-07-01T22:00:00-04:00,9238.45,9248.22,9261.96,9238.43,9237.774391,959.447235,1703.226481
2020-07-01T23:00:00-04:00,9237.88,9238.91,9249.99,9230.77,9238.09623,613.590555,1665.153667
2020-07-02T00:00:00-04:00,9237.02,9237.88,9244.49,9226,9237.66639,793.765436,1577.879081
2020-07-02T01:00:00-04:00,9209.68,9236.68,9260.84,9202.79,9233.912362,1653.089479,1587.919917
2020-07-02T02:00:00-04:00,9204.88,9209.68,9214.96,9166.6,9222.138675,2572.903367,1648.713829
2020-07-02T03:00:00-04:00,9208,9204.89,9218.81,9197.83,9220.418064,1184.02985,1628.559828
2020-07-02T04:00:00-04:00,9208.45,9208.33,9216.97,9170.01,9216.632752,1997.860887,1659.98542
2020-07-02T05:00:00-04:00,9210.06,9208.46,9220,9193.75,9215.719265,1359.26997,1501.305736
2020-07-02T06:00:00-04:00,9206.45,9210.06,9213.83,9185.12,9214.392576,1363.268653,1451.183612
2020-07-02T07:00:00-04:00,9197.01,9206.97,9206.97,9173.91,9212.294809,1525.795295,1415.161587
2020-07-02T08:00:00-04:00,9242.58,9196.79,9243.98,9180.54,9213.418164,1987.083532,1330.416412
2020-07-02T09:00:00-04:00,9246.92,9241.99,9257.72,9222.06,9216.381924,2042.524174,1344.404373
2020-07-02T10:00:00-04:00,9195,9246.91,9255,9190.04,9216.147246,1664.060221,1345.761155
2020-07-02T11:00:00-04:00,9048.92,9196.02,9196.02,9025,9184.624822,7168.293562,1640.169725
2020-07-02T12:00:00-04:00,9044.36,9048.92,9071.03,8940,9156.303231,5895.022869,1873.20996
2020-07-02T13:00:00-04:00,9066.34,9043.9,9080.82,9015,9150.339823,2142.039352,1930.108243
2020-07-02T14:00:00-04:00,9066.11,9066.34,9082.24,9027,9145.996805,1821.994489,1971.615142
2020-07-02T15:00:00-04:00,9055.15,9066.12,9078.01,9030,9142.570586,1497.781865,2002.382384
2020-07-02T16:00:00-04:00,9077.5,9055.14,9085,9035,9140.169356,1293.63429,2017.718802
2020-07-02T17:00:00-04:00,9126.55,9077.46,9150,9068.24,9139.211116,1631.508331,2058.348171
2020-07-02T18:00:00-04:00,9099.81,9126.55,9145.42,9080.05,9138.055011,1676.80816,2094.216217
2020-07-02T19:00:00-04:00,9086.54,9100.34,9105.86,9078.67,9136.933028,1075.569607,2117.315169
